Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
640	-121.349	0	-121.349	28.1517	28.1517	0.0552996	7.44888	0.771632	0.929092	1.05065	1.24862	1.18342	0.0182923	0.261811	0.0953398	0.624557	70.3051	7.50418	7.44888
650	-115.32	0	-115.32	23.2615	23.2615	0.0692028	8.37445	0.750128	0.92098	1.05452	1.27437	0.809734	0.233072	0.188569	0.208209	0.370149	68.7833	8.44365	8.37445
660	-117.757	0	-117.757	72.7668	72.7668	0.0682817	8.57976	0.855172	0.958115	1.03404	1.15268	0.855877	0.0775554	0.509106	0.158818	0.25452	68.728	8.64805	8.57976
670	-119.104	0	-119.104	28.059	28.059	0.0232028	6.71831	0.771275	0.92896	1.05072	1.24905	1.22086	0.031523	0.916062	0.0248551	0.0275595	68.5498	6.74152	6.71831
680	-120.833	0	-120.833	28.3195	28.3195	0.0448535	6.83954	0.772273	0.92933	1.05053	1.24786	0.656986	0.0136411	0.506759	0.0103883	0.469211	67.6605	6.88439	6.83954
690	-130.725	0	-130.725	32.2423	32.2423	0.0704648	7.35242	0.785864	0.934312	1.048	1.23183	1.1204	0.0407679	0.585942	0.0618823	0.311407	67.0876	7.42289	7.35242
700	-123.915	0	-123.915	7.96633	7.96633	0.0704648	6.89911	0.592299	0.852138	1.07672	1.47884	0.642591	0.229302	0.120208	0.151574	0.498917	67.4466	6.96957	6.89911
710	-122.333	0	-122.333	9.1734	9.1734	0.0285953	6.84196	0.616985	0.864093	1.07405	1.44487	0.166944	0.000661484	0.00222996	0.0204987	0.97661	67.8783	6.87055	6.84196
720	-114.845	0	-114.845	5.24598	5.24598	0.0808996	6.52981	0.511984	0.809625	1.08285	1.59554	0.345183	0.000205618	0.00110211	0.00803049	0.990662	67.3717	6.61071	6.52981
730	-119.557	0	-119.557	3.32635	3.32635	0.0456362	6.58934	0.413032	0.748133	1.08371	1.75512	0.445265	0.00122433	0.00732688	0.161993	0.829455	66.147	6.63497	6.58934
740	-128.322	0	-128.322	2.50899	2.50899	0.0456362	7.66934	0.347307	0.700122	1.07873	1.87384	0.986937	0.00213313	0.0082244	0.323148	0.666494	67.3312	7.71497	7.66934
750	-123.989	0	-123.989	2.39883	2.39883	0.0535861	7.95247	0.33665	0.691672	1.07738	1.8943	0.790853	0.013475	0.00250819	0.68165	0.302366	66.7629	8.00605	7.95247
760	-118.786	0	-118.786	14.6212	14.6212	0.0542858	8.23909	0.689894	0.896733	1.06435	1.34902	0.950752	0.0236935	0.000475241	0.212273	0.763558	67.2342	8.29338	8.23909
770	-113.306	0	-113.306	21.3862	21.3862	0.0542858	6.7234	0.740078	0.917093	1.05626	1.28657	0.861133	0.0738885	0.00201501	0.0409217	0.883175	67.6871	6.77769	6.7234
780	-114.44	0	-114.44	40.4913	40.4913	0.0515234	7.31254	0.807912	0.94217	1.04374	1.20618	1.76077	0.430799	0.0215032	0.063018	0.48468	67.1954	7.36407	7.31254
790	-111.474	0	-111.474	43.2854	43.2854	0.0538883	8.31837	0.813953	0.944275	1.04254	1.19923	1.19376	0.332655	0.0387529	0.0807353	0.547856	66.4568	8.37226	8.31837
800	-118.557	0	-118.557	12.3235	12.3235	0.0552877	8.86135	0.664669	0.88587	1.068	1.38146	0.161886	0.696665	0.0817992	0.10901	0.112525	66.111	8.91663	8.86135
810	-116.961	0	-116.961	1.05259	1.05259	0.035514	9.35786	0.147327	0.492009	1.0082	2.35247	0.283125	0.427606	0.24012	0.00199389	0.33028	65.9707	9.39337	9.35786
820	-128.588	0	-128.588	1.19581	1.19581	0.035514	9.28357	0.174293	0.528618	1.02614	2.27095	1.94156	0.380939	0.0335354	4.80111e-05	0.585478	66.5584	9.31909	9.28357
830	-108.37	0	-108.37	14.9437	14.9437	0.0276647	8.43945	0.692991	0.898037	1.06388	1.34509	1.77411	0.467404	0.0950592	0.00360383	0.433933	65.4994	8.46712	8.43945
840	-118.055	0	-118.055	46.4096	46.4096	0.0911964	8.11154	0.820071	0.946387	1.04131	1.19223	1.96018	0.128843	0.409364	0.000558463	0.461234	66.0332	8.20274	8.11154
850	-114.298	0	-114.298	59.233	59.233	0.0988314	6.64709	0.840013	0.953131	1.03723	1.16963	7.27499	0.00685738	0.0767009	4.76066e-05	0.916394	65.7466	6.74592	6.64709
860	-122.372	0	-122.372	7.58454	7.58454	0.0835899	7.00334	0.583416	0.847714	1.0776	1.49127	11.8117	0.134901	0.762162	0.000866172	0.102071	64.999	7.08693	7.00334
870	-123.586	0	-123.586	3.28948	3.28948	0.0651451	7.12173	0.410487	0.746393	1.08361	1.75951	7.30231	0.184681	0.236842	0.000957745	0.577519	65.1207	7.18687	7.12173
880	-123.957	0	-123.957	5.39392	5.39392	0.0651451	8.34164	0.517659	0.812826	1.08256	1.58696	1.50309	0.100135	0.643777	0.00929872	0.24679	65.3707	8.40679	8.34164
890	-116.551	0	-116.551	5.1938	5.1938	0.0389352	7.05051	0.509933	0.80846	1.08295	1.59866	2.62685	0.879131	0.112733	0.000378558	0.00775687	64.5368	7.08944	7.05051
900	-115.2	0	-115.2	7.44096	7.44096	0.0360262	7.08278	0.579918	0.845955	1.07793	1.4962	4.57376	0.395124	0.469651	0.00536044	0.129864	64.7764	7.11881	7.08278
