Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
680	-13299.7	-13122.6	-177.139	0.259341	0.259341	0.0434655	0.0901699	0.00257599	0.073514	0.520775	3.40314	17.7488	0.353007	0.367649	0.062943	0.216401	95.9813	0.133635	0.0901699
690	-13301.5	-13125.4	-176.108	0.258549	0.258549	0.0391113	0.16541	0.00253438	0.0729298	0.519171	3.40536	16.6125	0.364236	0.361268	0.0618505	0.212645	93.9873	0.204522	0.16541
700	-13305.5	-13126.7	-178.859	0.248992	0.248992	0.0298278	0.187196	0.0020651	0.0659628	0.499355	3.43262	17.8826	0.359599	0.356668	0.0625793	0.221154	97.3292	0.217024	0.187196
710	-13303.3	-13125.8	-177.53	0.251587	0.251587	0.0409415	0.116804	0.00218654	0.0678383	0.50482	3.42516	17.7594	0.357974	0.36345	0.0613916	0.217184	97.3292	0.157745	0.116804
720	-13303.2	-13125.5	-177.755	0.248629	0.248629	0.0524373	0.0819819	0.00204846	0.0657015	0.498585	3.43367	16.4663	0.353816	0.362792	0.0606784	0.222714	98.052	0.134419	0.0819819
730	-13309.3	-13132.8	-176.505	0.249839	0.249839	0.0415366	0.104878	0.00210426	0.0665737	0.501146	3.43018	18.8372	0.35004	0.367306	0.0628221	0.219832	98.6801	0.146415	0.104878
740	-13301.4	-13125.5	-175.916	0.246892	0.246892	0.0464223	0.147237	0.00197005	0.0644547	0.494885	3.43869	17.7726	0.376085	0.355061	0.0607279	0.208126	96.5327	0.19366	0.147237
750	-13303.6	-13125	-178.629	0.240709	0.240709	0.0374554	0.283584	0.00170666	0.0600671	0.481478	3.45675	17.0337	0.343871	0.368611	0.0648818	0.222636	96.8887	0.321039	0.283584
760	-13300	-13122.4	-177.563	0.243637	0.243637	0.0496386	0.0457468	0.00182835	0.0621347	0.487873	3.44816	18.3168	0.359025	0.355454	0.064431	0.221089	97.4672	0.0953855	0.0457468
770	-13306.5	-13129.4	-177.143	0.274275	0.274275	0.0304339	0.183901	0.00344101	0.0846988	0.549963	3.3619	16.8105	0.348577	0.357344	0.0655831	0.228495	91.661	0.214335	0.183901
